	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/default.txt
	mu                 = 100
	mutation           = 0.05
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 30
	seed               = 2905565739
	seedType           = 1
	solutionfile       = ./sln/default.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
4900	2.720	2.939
4950	2.720	2.939
5000	2.753	2.939
5050	2.753	2.939
5100	2.759	2.939
5150	2.765	2.939
5200	2.762	2.939
5250	2.699	2.939
5300	2.739	2.939
5350	2.717	2.939
5400	2.755	2.939
5450	2.721	2.939
5500	2.751	2.939
5550	2.720	2.939
5600	2.703	2.939
5650	2.688	2.939
5700	2.714	2.939
5750	2.710	2.939
5800	2.763	2.939
5850	2.773	2.944
5900	2.747	2.944
5950	2.740	2.944
6000	2.750	2.944
6050	2.727	2.944
6100	2.708	2.944
6150	2.739	2.944
6200	2.764	2.944
6250	2.777	2.944
6300	2.774	2.944
6350	2.756	2.944
6400	2.759	2.944
6450	2.739	2.944
6500	2.733	2.951
6550	2.755	2.951
6600	2.753	2.951
6650	2.768	2.951
6700	2.775	2.951
6750	2.810	2.951
6800	2.784	2.959
6850	2.793	2.959
6900	2.791	2.959
6950	2.791	2.959
7000	2.769	2.959
7050	2.771	2.959
7100	2.765	2.959
7150	2.789	2.959
7200	2.768	2.959
7250	2.781	2.959
7300	2.796	2.959
7350	2.784	2.959
7400	2.799	2.959
7450	2.766	2.959
7500	2.789	2.959
7550	2.752	2.959
7600	2.737	2.959
7650	2.763	2.959
7700	2.792	2.959
7750	2.757	2.959
7800	2.753	2.959
7850	2.767	2.959
7900	2.807	2.959
7950	2.816	2.959
8000	2.793	2.959
8050	2.810	2.959
8100	2.786	2.959
8150	2.793	2.959
8200	2.771	2.959
8250	2.742	2.961
8300	2.750	2.961
8350	2.735	2.961
8400	2.733	2.961
8450	2.696	2.961
8500	2.733	2.961
8550	2.715	2.961
8600	2.676	2.961
8650	2.651	2.961
8700	2.661	2.961
8750	2.704	2.961
8800	2.705	2.961
8850	2.742	2.961
8900	2.729	2.961
8950	2.680	2.961
9000	2.689	2.961
9050	2.728	2.961
9100	2.719	2.961
9150	2.709	2.961
9200	2.705	2.961
9250	2.726	2.961
9300	2.698	2.961
9350	2.737	2.961
9400	2.775	2.961
9450	2.771	2.961
9500	2.745	2.961
9550	2.775	2.961
9600	2.734	2.961
9650	2.757	2.961
9700	2.751	2.961
9750	2.723	2.961
9800	2.746	2.961
9850	2.741	2.961
9900	2.731	2.961
9950	2.692	2.961
10000	2.700	2.961

Absolute Fitness
2.970

Run 6
150	-0.999	1.530
200	0.094	1.530
250	0.570	2.161
300	1.537	2.296
350	1.833	2.374
400	2.059	2.402
450	2.177	2.558
500	2.247	2.558
550	2.340	2.558
600	2.412	2.598
650	2.412	2.598
700	2.451	2.671
750	2.513	2.718
800	2.563	2.718
850	2.595	2.777
900	2.594	2.777
950	2.601	2.785
1000	2.601	2.791
1050	2.622	2.795
1100	2.661	2.832
1150	2.647	2.832
1200	2.677	2.832
1250	2.680	2.859
1300	2.669	2.859
1350	2.703	2.859
1400	2.732	2.890
1450	2.715	2.890
1500	2.732	2.890
1550	2.745	2.890
1600	2.756	2.890
1650	2.752	2.890
1700	2.762	2.890
1750	2.730	2.915
1800	2.722	2.915
1850	2.747	2.915
