	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/high_mut.txt
	mu                 = 100
	mutation           = 0.8
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 940612102
	seedType           = 1
	solutionfile       = ./sln/high_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
Absolute Fitness
2.970

Run 3
150	-0.211	1.486
200	0.861	1.995
250	1.309	2.224
300	1.749	2.224
350	1.968	2.330
400	2.046	2.335
450	2.122	2.338
500	2.258	2.424
550	2.335	2.463
600	2.412	2.583
650	2.477	2.681
700	2.537	2.724
750	2.507	2.744
800	2.572	2.744
850	2.608	2.744
900	2.603	2.753
950	2.608	2.770
1000	2.623	2.770
1050	2.659	2.778
1100	2.654	2.820
1150	2.696	2.843
1200	2.648	2.847
1250	2.677	2.847
1300	2.714	2.847
1350	2.698	2.871
1400	2.685	2.871
1450	2.689	2.871
1500	2.648	2.871
1550	2.640	2.871
1600	2.656	2.872
1650	2.661	2.872
1700	2.677	2.872
1750	2.647	2.872
1800	2.659	2.872
1850	2.664	2.872
1900	2.620	2.872
1950	2.659	2.899
2000	2.642	2.899
2050	2.667	2.899
2100	2.669	2.899
2150	2.693	2.915
2200	2.675	2.915
2250	2.676	2.915
2300	2.663	2.915
2350	2.663	2.915
2400	2.605	2.915
2450	2.614	2.915
2500	2.627	2.915
2550	2.651	2.915
2600	2.654	2.915
2650	2.646	2.915
2700	2.640	2.915
2750	2.620	2.915
2800	2.593	2.915
2850	2.633	2.915
2900	2.624	2.915
2950	2.626	2.915
3000	2.634	2.915
3050	2.578	2.915
3100	2.569	2.915
3150	2.559	2.915
3200	2.604	2.915
3250	2.585	2.915
3300	2.580	2.915
3350	2.557	2.915
3400	2.557	2.915
3450	2.573	2.915
3500	2.595	2.915
3550	2.567	2.915
3600	2.600	2.915
3650	2.588	2.915
3700	2.581	2.915
3750	2.571	2.915
3800	2.643	2.915
3850	2.624	2.915
3900	2.641	2.915
3950	2.648	2.915
4000	2.632	2.915
4050	2.612	2.915
4100	2.584	2.915
4150	2.628	2.915
4200	2.599	2.915
4250	2.609	2.915
4300	2.605	2.915
4350	2.590	2.915
4400	2.591	2.915
4450	2.611	2.915
4500	2.618	2.915
4550	2.606	2.915
4600	2.611	2.915
4650	2.639	2.915
4700	2.644	2.915
4750	2.617	2.915
4800	2.625	2.915
4850	2.617	2.915
4900	2.648	2.915
4950	2.602	2.915
5000	2.610	2.915
5050	2.612	2.915
5100	2.565	2.915
5150	2.548	2.915
5200	2.523	2.915
5250	2.534	2.915
5300	2.519	2.915
5350	2.531	2.915
5400	2.541	2.915
5450	2.544	2.915
5500	2.526	2.915
5550	2.527	2.915
5600	2.547	2.915
5650	2.536	2.915
5700	2.543	2.915
5750	2.561	2.915
5800	2.523	2.915
5850	2.528	2.915
5900	2.498	2.915
5950	2.519	2.915
6000	2.528	2.915
6050	2.511	2.915
6100	2.506	2.915
6150	2.473	2.915
6200	2.453	2.915
6250	2.467	2.915
6300	2.424	2.915
6350	2.449	2.915
6400	2.457	2.915
6450	2.450	2.915
6500	2.456	2.915
6550	2.485	2.915
6600	2.505	2.915
6650	2.531	2.915
6700	2.501	2.915
6750	2.519	2.915
6800	2.494	2.915
6850	2.477	2.915
6900	2.453	2.915
6950	2.460	2.915
7000	2.471	2.915
7050	2.468	2.915
7100	2.476	2.915
7150	2.500	2.915
7200	2.526	2.915
7250	2.504	2.915
7300	2.494	2.915
7350	2.502	2.915
7400	2.503	2.915
7450	2.505	2.915
7500	2.534	2.915
7550	2.500	2.915
7600	2.508	2.915
7650	2.510	2.915
7700	2.508	2.915
7750	2.499	2.915
7800	2.472	2.915
7850	2.525	2.915
7900	2.523	2.915
7950	2.536	2.915
8000	2.507	2.915
8050	2.488	2.915
8100	2.466	2.915
8150	2.436	2.915
8200	2.416	2.915
8250	2.449	2.915
8300	2.465	2.915
8350	2.475	2.915
8400	2.485	2.915
8450	2.527	2.915
8500	2.533	2.915
8550	2.522	2.915
8600	2.526	2.915
8650	2.528	2.915
8700	2.501	2.915
8750	2.515	2.915
8800	2.567	2.915
8850	2.572	2.915
8900	2.566	2.915
8950	2.513	2.915
9000	2.528	2.915
9050	2.510	2.915
9100	2.502	2.915
9150	2.445	2.915
9200	2.435	2.915
9250	2.478	2.915
9300	2.477	2.915
9350	2.475	2.915
9400	2.458	2.915
9450	2.481	2.915
9500	2.497	2.915
9550	2.487	2.915
9600	2.499	2.915
9650	2.501	2.915
9700	2.476	2.915
9750	2.471	2.915
9800	2.487	2.915
9850	2.510	2.915
9900	2.524	2.915
9950	2.541	2.915
10000	2.505	2.915

Absolute Fitness
2.720
