	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/no_mut.txt
	mu                 = 100
	mutation           = 0
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 773228846
	seedType           = 1
	solutionfile       = ./sln/no_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
4000	2.572	2.960
4050	2.554	2.960
4100	2.582	2.960
4150	2.587	2.960
4200	2.557	2.960
4250	2.576	2.960
4300	2.591	2.960
4350	2.603	2.960
4400	2.630	2.960
4450	2.651	2.960
4500	2.622	2.960
4550	2.657	2.960
4600	2.614	2.960
4650	2.613	2.960
4700	2.610	2.960
4750	2.587	2.960
4800	2.594	2.960
4850	2.577	2.960
4900	2.587	2.960
4950	2.592	2.960
5000	2.588	2.960
5050	2.584	2.960
5100	2.588	2.960
5150	2.583	2.960
5200	2.607	2.960
5250	2.604	2.960
5300	2.663	2.960
5350	2.626	2.960
5400	2.615	2.960
5450	2.605	2.960
5500	2.614	2.960
5550	2.595	2.960
5600	2.587	2.960
5650	2.557	2.960
5700	2.563	2.960
5750	2.580	2.960
5800	2.545	2.960
5850	2.569	2.960
5900	2.553	2.960
5950	2.512	2.960
6000	2.553	2.960
6050	2.544	2.960
6100	2.538	2.960
6150	2.591	2.960
6200	2.632	2.960
6250	2.639	2.960
6300	2.630	2.960
6350	2.633	2.960
6400	2.657	2.960
6450	2.650	2.960
6500	2.651	2.960
6550	2.631	2.960
6600	2.639	2.960
6650	2.599	2.960
6700	2.616	2.960
6750	2.599	2.960
6800	2.585	2.960
6850	2.591	2.960
6900	2.624	2.960
6950	2.599	2.960
7000	2.604	2.960
7050	2.576	2.960
7100	2.569	2.960
7150	2.613	2.960
7200	2.612	2.960
7250	2.614	2.960
7300	2.648	2.960
7350	2.666	2.960
7400	2.634	2.960
7450	2.627	2.960
7500	2.628	2.960
7550	2.642	2.960
7600	2.628	2.960
7650	2.645	2.960
7700	2.664	2.960
7750	2.641	2.960
7800	2.657	2.960
7850	2.688	2.960
7900	2.683	2.960
7950	2.713	2.960
8000	2.732	2.960
8050	2.722	2.960
8100	2.697	2.960
8150	2.691	2.960
8200	2.694	2.960
8250	2.686	2.960
8300	2.652	2.960
8350	2.632	2.960
8400	2.574	2.960
8450	2.594	2.960
8500	2.615	2.960
8550	2.649	2.960
8600	2.611	2.960
8650	2.612	2.960
8700	2.617	2.960
8750	2.597	2.960
8800	2.615	2.960
8850	2.671	2.960
8900	2.660	2.960
8950	2.663	2.960
9000	2.671	2.960
9050	2.665	2.960
9100	2.631	2.960
9150	2.654	2.960
9200	2.644	2.960
9250	2.633	2.960
9300	2.641	2.960
9350	2.614	2.960
9400	2.629	2.960
9450	2.597	2.960
9500	2.601	2.960
9550	2.627	2.960
9600	2.642	2.960
9650	2.620	2.960
9700	2.635	2.960
9750	2.638	2.960
9800	2.636	2.960
9850	2.678	2.960
9900	2.626	2.960
9950	2.601	2.960
10000	2.592	2.960

Absolute Fitness
2.930
